annotation_split,song_id,song_title,artist_name,language,is_misogynistic,source_split,verse_id,verse_number,verse_text,n_lines,n_words,n_chars
1,172768,A las Cosas por Su Nombre,Violadores del Verso,es_ES,M,train,172768__1,1,5 años más tarde...,1,4,19
1,172768,A las Cosas por Su Nombre,Violadores del Verso,es_ES,M,train,172768__2,2,"Le quité las telarañas al micro y lo saqué del cofre
Y me juré que siempre llamaría a las cosas por su nombre
¿Te haces de cuerpo o de vientre o te estás cagando?
Eructo, regoldo, orín es meado y punto
Llevamos doble vida
Siempre más persona que artista, perdona que te diga
Si no queréis sacar dinero en el rap, no saquéis disco
Cuelga tu promo en internet y listo, so tonto
Ni una descarga del mismo del que tanto fardas
Y suena psicofonía en una cinta mil veces grabada
Llámame para colaborar, MC novato
Y lo mejor de tu CD será mi párrafo",12,105,531
1,172768,A las Cosas por Su Nombre,Violadores del Verso,es_ES,M,train,172768__3,3,"Me siento solo y con pena
Aunque siempre sé la hora
En este mi desierto es un gran reloj de arena
Hinchado el corazón para bajar la inflamación
De esta herida pondréle hielo con ron
Soledad es hablar conmigo mismo y preguntarme:
Ť¿Qué tal el trabajo?ť, Ť¿Cómo a ido el día?ť, Ť¿Hoy sales?ť
Y si salgo soledad es hablarle a un litro y llorarle
Y bebérmelo mezclado con lágrimas y, aun así, bien me sabe
Camareros de etiqueta son mandriles con mandiles
Yo tiro cañas a miles, so imbéciles
Pude beberme tres cubatas en el mismo vaso
Y con los mismos hielos tenía sed, prisa y no tiempo
Pongo a Hate en su vida y le hará feliz, le hará reír
Y mientras yo solo en una esquina llorando porque sí
Soy cofrade, beodo y encomendé mi espíritu
A San Cacique bendito del amor hermoso",17,151,755
1,172768,A las Cosas por Su Nombre,Violadores del Verso,es_ES,M,train,172768__4,4,"No intentéis innovar con tonos raros y la voz
De como estuvierais cagando como Dyango
¿Qué fue de ese rap hardcore que nos enamoró
Cuando Erick Sermon abandonó a EPMD, se nos amariconó?
Qué triste, ¿no? Mi amor por el rap no nació en un ciber
Eres un pufo como las caras de Bélmez o el Ligre
Dios me libre de creer en el susodicho
Y menos en un cuerpo con sotana negra y un púlpito
Ojalá te mueras
Este que ahora os habla
Nunca sucumbió a modas pasajeras
Mi padre es el rap, yo soy su vástago
Si no te queda claro, te lo susurro al oído por megáfono",13,110,537
1,172768,A las Cosas por Su Nombre,Violadores del Verso,es_ES,M,train,172768__5,5,"""Mago Beodo"" os da lo que os corresponde
""Hate"" hasta los huevos inconforme
""Yuen Shiao Tien"" letras sinceras siempre porque
""Sho Hai"" llama las cosas por su nombre
""Mago Beodo"" os da lo que os corresponde
""Hate"" hasta los huevos inconforme
""Yuen Shiao Tien"" letras sinceras siempre porque
""Sho Hai"" llama las cosas por su nombre",8,56,322
1,172768,A las Cosas por Su Nombre,Violadores del Verso,es_ES,M,train,172768__6,6,"Cigarros de la risa son porros
Penes son pollas, las vaginas son coños
Gobernantes del mundo son blanco de odio y de ira, normal
Yo antes morir que perder la vida
Dios es nada, tú mira al cielo y pide milagros
Yo pedí, se me cagó un palomo torcaz por mal cristiano
ŤMierda divinať, pensé, y a este infiel concediéronle
El ir muriendo de pena, cada vez más cada mes
Aun así soy un regalo, sin envoltorio alguno, soy fan de mi grupo
Cuando hay disco nuevo en la región a Zaragoza coronamos reina
A pesar del aire en movimiento, la muy puta ni se despeina
Tú qué esperas rapero, un respeto al arquitecto
¿Tú sin mi de qué? Si yo soy tus cimientos
En la oficina de Rap Solo se fuma
La ley en vigor dicta que no se puede, pero nos la suda
Escucha música de todo, pero con criterio
Por la muerte de muchos artistas, mi reino
A festivales europeos de la música Sho-Hai rechaza
Para las Ketchup, gas mostaza",19,174,881
1,172768,A las Cosas por Su Nombre,Violadores del Verso,es_ES,M,train,172768__7,7,"Sal de caza y pesca furtivo, jara y sedal
O sal de marcha conmigo y será jarra y pedal
Amante de lo prohibido, para mí lo más normal
A ojos de un purista convencido, pecado mortal
Date regalos al cuerpo, joder
Pero ponte el capuchón
Con la piba que acabas de conocer
Te aconsejo lo que debes de hacer
Almeja que no se abre no se debe comer
Lo que sería el colmo del sumo placer
Imagina estornudar y correrte a la vez
Aunque un cobarde forero en el tanatorio al mes
Sería un placentero trofeo digno de merecer",13,99,496
1,172768,A las Cosas por Su Nombre,Violadores del Verso,es_ES,M,train,172768__8,8,"Somos cuatro y el de la guitarra
Escupimos lo que pensamos
Y no adornamos las palabras con guirnaldas
Por su nombre a las cosas: tu relación no funciona
Tu pibe te engaña y tu novia es idiota
Beber es vivir, pero no lo hagas
Mi razón de existir: alegría embotellada
Me quiero morir, pero sin deciros nada
Diré que bajo a por tabaco y jamás volveré a casa",9,68,346
1,172768,A las Cosas por Su Nombre,Violadores del Verso,es_ES,M,train,172768__9,9,"""Mago Beodo"" os da lo que os corresponde
""Hate"" hasta los huevos inconforme
""Yuen Shiao Tien"" letras sinceras siempre porque
""Sho Hai"" llama las cosas por su nombre
""Gran Mago"" os da lo que os corresponde
""Hate"" hasta los huevos inconforme
""Yuen Shiao Tien"" letras sinceras siempre porque
""Sho Hai"" llama las cosas por su nombre",8,56,321
1,172770,Resistencia Arrogante,Violadores del Verso,es_ES,NM,train,172770__1,1,"El rap es vida, la vida es cambiante
Nada es perfecto, yo... Resistente
La genialidad momentánea en inspiración y mente
No siempre se ponen de acuerdo para crear un puente
Ya ha dado su fruto
Cortesías de cuatro, dos –Ś un minuto
Astuto cómplice de una instrumental de este bruto
Mental y tecnológico es el culto
Chequea la melodía, es tecnología
Donde los momentos catárticos se expían
Tú que me espías en tus cascos en cada canción
Haremos luz de luna en la noche en cada canción
Y es un escándalo, Violadores del Verso y un zángano
Enlaces profesionales, ritos para tribales
Para chavales con un bombo clap a tutto
Y es que desde siempre a muchos van a bruto, no
Y es un insulto al rap aunque se definen
Aprended en la calle o en el cine
No te ocultes en la brea, tramita tu don
Y en el estudio de tu psique harás de soplón
Tú dame lo íntegro
Quiero que seas por lo poco un entero
Pero torpeza y desespero, clavan astas en envero
No hay madera, más madera, yo a esta mierda rec toreo
(x2)",25,189,968
