song_id,artist,title,n_verses,lyrics_len,genius_ok,genius_matched_by,genius_id,genius_title,genius_artist,release_date,year,album,featured_artists,producer_artists,writer_artists,pageviews,lastfm_artist_tags,lastfm_track_tags,artist_mbid,mb_artist_name,artist_type,artist_gender,artist_country,artist_area,artist_begin,wikidata_qid,mb_artist_tags,error,wd_ok,wd_qid,wd_gender,wd_citizenship_qids,wd_instance_of,wd_occupation_qids,wd_has_inception,ab_ok,ab_danceability,ab_mood_happy,ab_mood_sad,ab_mood_aggressive,ab_mood_party,ab_mood_relaxed,ab_genre_rosamerica,ab_bpm,ab_key,primary_artist,fill_lastfm_tags,fill_type,fill_gender,fill_country,fill_area,fill_begin,fill_mb_tags,fill_err,deep_year,deep_album,deep_writers,deep_producers,wd_citizenship_labels,wd_occupation_labels,wd_instance_of_labels,release_year,decade,genres_all,genre_main,country,gender_or_group,album_final,country_fuente,genre_main_fuente,gender_or_group_fuente,release_year_fuente,writers,producers,in_train,in_test,is_misogynistic,type_sexualization,type_violence,type_hate,has_gender_stereotype,test_id,test_match_score
10002733,Quevedo,LA ÚLTIMA,9,2683,TRUE,id,10002733,LA ÚLTIMA,Quevedo,01/02/24,,,[],"['BlueFire', 'GARABATTO', 'Gio Producer', 'KIDDO', 'Marlku']",['Quevedo'],47917,"[['Reggaeton', 100], ['rap', 11], ['spanish', 7], ['Hip-Hop', 7], ['mediocre', 1], ['hip hop', 1], ['spain', 1], ['20s', 1], ['basura', 1], ['dance pop', 1]]",[],ef9bb29f-f466-4e28-8064-32558f4bb2df,Quevedo,Person,Male,ES,Las Palmas de Gran Canaria,07/12/01,Q112913522,,,TRUE,Q112913522,['male'],['Q29'],['Q5'],"['Q177220', 'Q753110', 'Q2252262']",FALSE,FALSE,,,,,,,,,,,,,,,,,,,2024,LA ÚLTIMA,[],[],['España'],"['cantante', 'compositor de canciones', 'rapero']",['ser humano'],2024,2020,"['reggaeton', 'rap', 'hip-hop', 'hip hop', 'dance pop']",reggaeton,España,hombre,LA ÚLTIMA,api,api,api,api,['Quevedo'],"['BlueFire', 'GARABATTO', 'Gio Producer', 'KIDDO', 'Marlku']",TRUE,FALSE,NM,,,,,,
1001688,Héroes Del Silencio,El Camino Del Exceso,6,1187,TRUE,id,1001688,El Camino Del Exceso,Héroes Del Silencio,14/06/93,,El Espíritu del Vino,[],['Phil Manzanera'],"['Bunbury', 'Juan Valdivia', 'Joaquín Cardiel', 'Pedro Andreu']",,"[['rock', 100], ['spanish', 56], ['Spanish Rock', 34], ['hard rock', 34], ['Rock en Espanol', 13], ['Gothic Rock', 3], ['rock en español', 3], ['alternative rock', 1], ['90s', 1], ['rock español', 1]]",[],4bb712d6-8be9-4c09-810a-eb3bed2be345,Héroes del Silencio,Group,,ES,Spain,1984,Q1434852,,,TRUE,Q1434852,[],[],['Q215380'],[],TRUE,FALSE,,,,,,,,,,,,,,,,,,,,,,,[],[],['grupo musical'],1993,1990,"['rock', 'spanish rock', 'hard rock', 'rock en espanol', 'gothic rock', 'rock en español', 'alternative rock', 'rock español']",rock,España,grupo,El Espíritu del Vino,api,api,api,api,"['Bunbury', 'Joaquín Cardiel', 'Juan Valdivia', 'Pedro Andreu']",['Phil Manzanera'],TRUE,FALSE,NM,,,,,,
1002340,Hombres G,Indiana,5,1222,TRUE,id,1002340,Indiana,Hombres G,28/04/86,,La Cagaste... Burt Lancaster,[],['Paco Trinidad'],['David Summers'],,"[['spanish', 100], ['rock', 91], ['Rock en Espanol', 56], ['pop', 54], ['Spanish Rock', 18], ['rock en español', 7], ['80s', 7], ['spain', 1], ['pop rock', 1], ['spanish pop', 1]]",[],8b1628a7-130a-4faf-96d8-2418bd9043c2,Hombres G,Group,,ES,Spain,1982,Q3772826,,,TRUE,Q3772826,[],[],['Q215380'],[],TRUE,FALSE,,,,,,,,,,,,,,,,,,,,,,,[],[],['grupo musical'],1986,1980,"['rock', 'rock en espanol', 'pop', 'spanish rock', 'rock en español', 'pop rock', 'spanish pop']",rock,España,grupo,La Cagaste... Burt Lancaster,api,api,api,api,['David Summers'],['Paco Trinidad'],FALSE,TRUE,M,0,1,1,Y,T_TEST_0057,0.779
10048649,"Lucho RK, La Pantera & BDP Music (Producer)",Lucy,7,2789,TRUE,id,10048649,Lucy,Lucho RK,15/02/24,,,[],['BDP Music (ESP)'],"['Lucho RK', 'La Pantera']",7791,[],[],c3d7f812-47b2-4d78-9ac2-9512817d8add,Lucho RK,Person,Male,ES,Spain,31/03/00,,,,FALSE,,,,,,,FALSE,,,,,,,,,,Lucho RK,"[['canarias', 100]]",Person,male,ES,Spain,31/03/00,"[['urban', '1']]",,2024,Lucy,[],[],,,,2024,2020,"['canarias', 'urban']",canarias,España,hombre,Lucy,api,api,api,api,"['La Pantera', 'Lucho RK']",['BDP Music (ESP)'],TRUE,FALSE,M,1,1,1,Y,,
10055546,Hombres G & Carín León,Te quiero,7,808,TRUE,id,10055546,Te quiero,Hombres G,09/02/24,,¿Por qué no ser amigos?,[],['Orlando Aispuro'],['David Summers'],,[],[],8b1628a7-130a-4faf-96d8-2418bd9043c2,Hombres G,Group,,ES,Spain,1982,Q3772826,,,TRUE,Q3772826,[],[],['Q215380'],[],TRUE,FALSE,,,,,,,,,,Hombres G,"[['spanish', 100], ['rock', 91], ['Rock en Espanol', 56], ['pop', 54], ['Spanish Rock', 18], ['rock en español', 7], ['80s', 7], ['spain', 1], ['pop rock', 1], ['spanish pop', 1]]",Group,,ES,Spain,1982,"[['pop rock', '1']]",,,,,,[],[],['grupo musical'],2024,2020,"['rock', 'rock en espanol', 'pop', 'spanish rock', 'rock en español', 'pop rock', 'spanish pop']",rock,España,grupo,¿Por qué no ser amigos?,api,api,api,api,['David Summers'],['Orlando Aispuro'],TRUE,FALSE,NM,,,,,,
10059105,"Yung Beef, Cookin Soul & Cruz Cafuné",Konbini Wars,5,2088,TRUE,id,10059105,Konbini Wars,Yung Beef,28/03/24,,Los Papasitos,[],['Cookin Soul'],"['Yung Beef', 'Cruzzi']",24986,[],[],505e16b2-ef1b-42cc-b323-1a9664bcf69a,Yung Beef,Person,Male,ES,Spain,,,,,FALSE,,,,,,,FALSE,,,,,,,,,,Yung Beef,"[['trap', 100], ['Reggaeton', 45], ['spanish', 22], ['rap', 22], ['cloud rap', 11], ['spanish trap', 5], ['Hip-Hop', 3], ['g o a t', 1], ['spain', 1], ['hip hop', 1]]",Person,male,ES,Spain,,"[['reggaeton', '1'], ['trap', '1'], ['trap latino', '1']]",,,,,,,,,2024,2020,"['trap', 'reggaeton', 'rap', 'cloud rap', 'spanish trap', 'hip-hop', 'g o a t', 'hip hop', 'trap latino']",trap,España,hombre,Los Papasitos,api,api,api,api,"['Cruzzi', 'Yung Beef']",['Cookin Soul'],TRUE,FALSE,M,1,0,1,Y,,
10077087,Lola Indigo & Manuel Turizo,1000COSAS,11,2512,TRUE,id,10077087,1000COSAS,Lola Indigo,08/03/24,,NAVE DRAGÓN,[],['Tunvao'],"['Lola Indigo', 'Manuel Turizo', 'Tunvao']",9845,[],[],d68e2c4b-8411-4f80-8b55-6682ae70881d,8-Bit Arcade,Person,,AU,Australia,,,,,FALSE,,,,,,,FALSE,,,,,,,,,,Lola Indigo,"[['spanish', 100], ['pop', 44], ['spain', 29], ['dance', 29], ['latin pop', 4], ['Reggaeton', 4], ['latin', 4], ['Lola Indigo', 1], ['brazilian funk', 1], ['upcoming album 2023', 1]]",Person,female,ES,Spain,01/04/92,"[['electropop', '1'], ['dance-pop', '1'], ['latin pop', '3'], ['reggaeton', '2'], ['funk carioca', '0']]",,,,,,,,,2024,2020,"['pop', 'dance', 'latin pop', 'reggaeton', 'lola indigo', 'brazilian funk', 'upcoming album 2023', 'electropop', 'dance-pop', 'funk carioca']",pop,AU,mujer,NAVE DRAGÓN,api,api,api,api,"['Lola Indigo', 'Manuel Turizo', 'Tunvao']",['Tunvao'],TRUE,FALSE,M,1,0,0,N,,
1009423,Cristian Castro,Agua Nueva,6,967,TRUE,id,1009423,Agua Nueva,Cristian Castro,30/06/92,,Agua Nueva,[],['Alejandro Zepeda'],['Jorge Macias Gomez'],,"[['pop', 100], ['latin', 100], ['latin pop', 46], ['spanish', 46], ['Pop Latino', 14], ['male vocalists', 12], ['mexico', 10], ['mexican', 1], ['cristian castro', 1], ['Romantica', 1]]",[],8cc00e45-94c9-40e0-882b-0e76dd5b472b,Cristian Castro,Person,Male,MX,Mexico,08/12/74,Q2409501,,,TRUE,Q2409501,['male'],['Q96'],['Q5'],"['Q177220', 'Q36834', 'Q33999', 'Q10798782']",FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,['México'],"['cantante', 'compositor', 'actor', 'actor de televisión']",['ser humano'],1992,1990,"['pop', 'latin pop', 'pop latino', 'cristian castro', 'romantica']",pop,México,hombre,Agua Nueva,api,api,api,api,['Jorge Macias Gomez'],['Alejandro Zepeda'],TRUE,FALSE,M,1,1,0,Y,,
10103583,Maria Becerra & Ivy Queen,PRIMER AVISO,9,2787,TRUE,id,10103583,PRIMER AVISO,Maria Becerra,29/02/24,,,[],['XROSS'],"['Maria Becerra', 'Ivy Queen', 'XROSS']",6365,[],[],a69b643d-2cd9-4914-8a1a-3f3797a7323c,María Becerra,Person,Female,AR,Argentina,12/02/00,Q69821388,,,TRUE,Q69821388,['female'],['Q414'],['Q5'],"['Q177220', 'Q17125263', 'Q2252262', 'Q753110']",FALSE,FALSE,,,,,,,,,,Maria Becerra,"[['argentina', 100], ['Reggaeton', 100], ['dancehall', 66], ['pop', 29], ['trap', 15], ['argentinian', 4], ['female vocalists', 4], ['Sieb', 1], ['Maria Becerra', 1], ['m', 1]]",Person,female,AR,Argentina,12/02/00,"[['reggaeton', '1'], ['trap latino', '1'], ['latin', '1']]",,2024,Primer aviso,[],[],['Argentina'],"['cantante', 'youtuber', 'rapero', 'compositor de canciones']",['ser humano'],2024,2020,"['reggaeton', 'dancehall', 'pop', 'trap', 'argentinian', 'sieb', 'maria becerra', 'm', 'trap latino']",reggaeton,Argentina,mujer,Primer aviso,api,api,api,api,"['Ivy Queen', 'Maria Becerra', 'XROSS']",['XROSS'],FALSE,TRUE,NM,0,0,0,N,T_TEST_0539,0.864
1011021,Melendi,Mi Primer Beso,8,1930,TRUE,id,1011021,Mi Primer Beso,Melendi,13/11/12,,Lágrimas desordenadas,[],['José De Castro'],['Melendi'],,"[['spanish', 100], ['pop', 92], ['Flamenco', 51], ['new flamenco', 29], ['Espanol', 9], ['rumba', 5], ['melendi', 4], ['rock', 1], ['latin', 1], ['español', 1]]",[],86d61837-890c-4d04-aeec-30d70ad77298,Melendi,Person,Male,ES,Spain,21/01/79,Q623353,,,TRUE,Q623353,['male'],['Q29'],['Q5'],"['Q488205', 'Q177220']",FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,['España'],"['cantautor', 'cantante']",['ser humano'],2012,2010,"['pop', 'flamenco', 'new flamenco', 'rumba', 'melendi', 'rock']",pop,España,hombre,Lágrimas desordenadas,api,api,api,api,['Melendi'],['José De Castro'],TRUE,FALSE,M,1,0,0,N,,
