song_id,artist,title,n_verses,lyrics_len,release_date,release_year,decade,album,country,gender_or_group,genres_all,genre_main,is_misogynistic,type_sexualization,type_violence,type_hate,has_gender_stereotype,in_train,in_test
10002733,Quevedo,LA ÚLTIMA,9,2683,01/02/24,2024,2020,LA ÚLTIMA,España,hombre,"['reggaeton', 'rap', 'hip-hop', 'hip hop', 'dance pop']",reggaeton,NM,,,,,True,False
1001688,Héroes Del Silencio,El Camino Del Exceso,6,1187,14/06/93,1993,1990,El Espíritu del Vino,España,grupo,"['rock', 'spanish rock', 'hard rock', 'rock en espanol', 'gothic rock', 'rock en español', 'alternative rock', 'rock español']",rock,NM,,,,,True,False
1002340,Hombres G,Indiana,5,1222,28/04/86,1986,1980,La Cagaste... Burt Lancaster,España,grupo,"['rock', 'rock en espanol', 'pop', 'spanish rock', 'rock en español', 'pop rock', 'spanish pop']",rock,M,0,1,1,Y,False,True
10048649,"Lucho RK, La Pantera & BDP Music (Producer)",Lucy,7,2789,15/02/24,2024,2020,Lucy,España,hombre,"['canarias', 'urban']",canarias,M,1,1,1,Y,True,False
10055546,Hombres G & Carín León,Te quiero,7,808,09/02/24,2024,2020,¿Por qué no ser amigos?,España,grupo,"['rock', 'rock en espanol', 'pop', 'spanish rock', 'rock en español', 'pop rock', 'spanish pop']",rock,NM,,,,,True,False
10059105,"Yung Beef, Cookin Soul & Cruz Cafuné",Konbini Wars,5,2088,28/03/24,2024,2020,Los Papasitos,España,hombre,"['trap', 'reggaeton', 'rap', 'cloud rap', 'spanish trap', 'hip-hop', 'g o a t', 'hip hop', 'trap latino']",trap,M,1,0,1,Y,True,False
10077087,Lola Indigo & Manuel Turizo,1000COSAS,11,2512,08/03/24,2024,2020,NAVE DRAGÓN,AU,mujer,"['pop', 'dance', 'latin pop', 'reggaeton', 'lola indigo', 'brazilian funk', 'upcoming album 2023', 'electropop', 'dance-pop', 'funk carioca']",pop,M,1,0,0,N,True,False
1009423,Cristian Castro,Agua Nueva,6,967,30/06/92,1992,1990,Agua Nueva,México,hombre,"['pop', 'latin pop', 'pop latino', 'cristian castro', 'romantica']",pop,M,1,1,0,Y,True,False
10103583,Maria Becerra & Ivy Queen,PRIMER AVISO,9,2787,29/02/24,2024,2020,Primer aviso,Argentina,mujer,"['reggaeton', 'dancehall', 'pop', 'trap', 'argentinian', 'sieb', 'maria becerra', 'm', 'trap latino']",reggaeton,NM,0,0,0,N,False,True
1011021,Melendi,Mi Primer Beso,8,1930,13/11/12,2012,2010,Lágrimas desordenadas,España,hombre,"['pop', 'flamenco', 'new flamenco', 'rumba', 'melendi', 'rock']",pop,M,1,0,0,N,True,False
1011392,Cartel de Santa,Ella (Me Canse De Rogarle),5,1550,,2006,2000,La noche perfecta,México,hombre,"['hip-hop', 'rap', 'hip hop', 'cronica babilonia', 'cartel de santa', 'hip hop latino', 'conexion puerto rico', 'mexican rap']",hip-hop,M,0,0,1,Y,False,True
1011524,Romeo Santos,Vale la Pena el Placer,6,1206,,2012,2010,"Fórmula, Vol. 1 (Deluxe Edition)",Estados Unidos,hombre,"['bachata', 'pop', 'latin pop', 'rnb', 'american', 'aventura', 'r&b']",bachata,M,0,1,1,Y,True,False
10119635,3-2 Get Funky,Mujeres Calientes,10,2793,01/01/02,2002,2000,The Godfather,Puerto Rico,grupo,"['reggaeton', 'world', 'boricua']",reggaeton,M,1,0,1,Y,True,False
1012622,Ricardo Arjona,La Mujer Que No Soñé,5,1023,17/09/91,1991,1990,Del otro lado del sol,Guatemala,hombre,"['pop', 'latin pop', 'ricardo arjona', 'romantica', 'arjona', 'baladas']",pop,NM,,,,,True,False
1013133,"Nat ""King"" Cole",Adios Mariquita Linda,5,546,,1990,1990,More Cole Español,Estados Unidos,hombre,"['jazz', 'swing', 'blues', 'oldies', 'jazz vocal', 'vocal jazz', 'nat king cole', 'american']",jazz,NM,,,,,True,False
1013451,Mecano,"""Eungenio"" Salvador Dalí",8,1224,06/07/88,1988,1980,Descanso Dominical,España,grupo,"['pop', 'spanish pop', 'post-punk', 'new wave', 'mecano', 'synthpop']",pop,NM,,,,,True,False
1014993,Selena,Amor Prohibido,5,1058,13/04/94,1994,1990,Amor Prohibido,Estados Unidos,mujer,"['tejano', 'pop', 'latin pop', 'cumbia', 'selena']",tejano,NM,,,,,True,False
1015141,Nicky Jam,Me Voy Pa'l Party,10,2812,05/08/03,2003,2000,Conspiración 2,Puerto Rico,hombre,"['reggaeton', 'pop', 'nicky jam', 'oldies', 'rock and roll', 'mierda', 'puerto rico music']",reggaeton,M,1,1,0,Y,True,False
10161175,Patota,Te Tragas La Gasolina (Daddy Yankee díss),6,2349,,2020,2020,Gasolina,Argentina,grupo,['rap'],rap,M,1,0,1,Y,False,True
1016499,Bronco,Con Zapatos De Tacón,12,1086,,1997,1990,Salvaje y Tierno,México,grupo,"['cumbia', 'bronco', 'rock', 'dance', 'regional mexican', 'stoner metal', 'hard rock']",cumbia,M,1,0,0,Y,True,False
