song_id,artist,title,group,n_verses,removal_reason,language,predicted_language,confidence
883580,Ajda Pekkan,Bir Günah Gibi,Grupo 1,6,manual_language,tr,,
6455494,Danny Saucedo & Sabina Ddumba,Fan va har vi gjort...,Grupo 1,9,manual_language,sv,,
2307147,Michel Dida,Höru Mej Bae (Remix),Grupo 2,10,manual_language,sv,,
2908534,Mohammed Ali,Rapstjärna,Grupo 2,8,manual_language,sv,,
10544492,Motive & Ajda Pekkan,Bir Günah Gibi,Grupo 2,4,manual_language,tr,,
3172547,Petter,Kall vinter,Grupo 2,6,manual_language,sv,,
8019071,Prins Daniel,Vissa rosor,Grupo 2,4,manual_language,sv,,
3400393,SHINee,혜야 (Y Si Fuera Ella),Grupo 1,11,manual_language,ko,,
3429875,Sabina Ddumba,Orden I Vinden,Grupo 1,7,manual_language,sv,,
3429876,Sabina Ddumba,Två Mörka Ögon,Grupo 1,5,manual_language,sv,,
3527443,Sabina Ddumba,Varför Är Kärleken Röd,Grupo 1,6,manual_language,sv,,
3284499,Sabina Ddumba,Vågorna,Grupo 3,8,manual_language,sv,,
472208,Silvana Imam,I•M•A•M,Grupo 3,5,manual_language,sv,,
4095166,Aitana,Popcorn,Grupo 1,10,predicted_non_spanish,en,en,0.9891452193260192
4095164,Aitana,Stupid,Grupo 1,9,predicted_non_spanish,en,en,0.9512061476707458
3600303,Animeme Rap Battles,Battle Royale,Grupo 1,20,predicted_non_spanish,en,en,0.870105504989624
3015647,Animeme Rap Battles,Mario Brothers vs. Frozen Sisters,Grupo 3,5,predicted_non_spanish,en,en,0.9711214303970336
8927406,Clementino,GUARDANDO LA LUNA (NAPOLI RMX),Grupo 3,10,predicted_non_spanish,it,it,0.9950534701347352
2421238,Dark Moor,Gabriel,Grupo 1,8,predicted_non_spanish,en,en,0.9749805927276612
6230235,David Bisbal & Carrie Underwood,Tears Of Gold,Grupo 3,6,predicted_non_spanish,en,en,0.8535474538803101
1646760,Diana Ross,All of You,Grupo 4,9,predicted_non_spanish,en,en,0.976340353488922
4575101,Ed Sheeran,Nothing on You,Grupo 1,7,predicted_non_spanish,en,en,0.9055827856063844
3383556,Eddie Murphy,Yeah,Grupo 4,4,predicted_non_spanish,en,en,0.7525943517684937
720556,F.A.M.,Forever Ain’t Long Enough,Grupo 3,7,predicted_non_spanish,en,en,0.9717254042625428
5617086,Genius English Translations,Nathy Peluso - BUSINESS WOMAN (English Translation),Grupo 2,14,predicted_non_spanish,en,en,0.9692013263702391
6026359,Genius English Translations,Nathy Peluso - DELITO (English Translation),Grupo 2,11,predicted_non_spanish,en,en,0.963499903678894
2241293,Hombres G,Venecia,Grupo 1,6,predicted_non_spanish,,it,0.9843207597732544
1317761,Hombres G,Venezia,Grupo 1,21,predicted_non_spanish,it,it,0.9937756061553956
3305519,Icona Pop,Not Too Young,Grupo 1,9,predicted_non_spanish,en,en,0.9746637344360352
1385492,Julio Iglesias,All of You,Grupo 3,7,predicted_non_spanish,en,en,0.9661232829093932
995993,Julio Iglesias,Crazy,Grupo 2,5,predicted_non_spanish,en,en,0.9221903681755066
1642642,Julio Iglesias,Fragile,Grupo 3,7,predicted_non_spanish,en,en,0.9279882311820984
1341284,Julio Iglesias,If I Ever Needed You (I Need You Now),Grupo 3,7,predicted_non_spanish,en,en,0.970183491706848
1175689,Julio Iglesias,Il faut toujours un perdant,Grupo 1,13,predicted_non_spanish,fr,fr,0.9925665855407716
1541597,Julio Iglesias,Je N’ai Pas Changé,Grupo 3,7,predicted_non_spanish,fr,fr,0.993461012840271
1988170,Julio Iglesias,Je n’ai pas change (no vengo ni voy),Grupo 4,3,predicted_non_spanish,fr,fr,0.9922198057174684
1479090,Julio Iglesias,J’ai besoin d’un peu d’amour,Grupo 3,6,predicted_non_spanish,fr,fr,0.9937980771064758
961205,Julio Iglesias,Love Is On Our Side Again,Grupo 3,7,predicted_non_spanish,en,en,0.9570930004119872
1410393,Julio Iglesias,Mammy Blue,Grupo 4,7,predicted_non_spanish,en,fr,0.9854810833930968
1213396,Julio Iglesias,Moonlight Lady,Grupo 4,7,predicted_non_spanish,en,en,0.9326524138450624
949211,Julio Iglesias,My Love,Grupo 3,6,predicted_non_spanish,en,en,0.8254271149635315
1770599,Julio Iglesias,Se mi lasci non vale,Grupo 3,7,predicted_non_spanish,it,it,0.9935909509658812
2125249,Julio Iglesias,Song of joy - english,Grupo 3,5,predicted_non_spanish,en,en,0.8514197468757629
1850019,Julio Iglesias,Spanish Eyes,Grupo 2,6,predicted_non_spanish,en,en,0.9166489839553832
1394732,Julio Iglesias,To All the Girls I’ve Loved Before,Grupo 3,7,predicted_non_spanish,en,en,0.9454609751701356
2242052,Julio Iglesias,"Un jour tu ris, un jour tu pleures (No Soy De Aqui)",Grupo 3,5,predicted_non_spanish,fr,fr,0.9926638603210448
1329878,Julio Iglesias,Viens m’embrasser,Grupo 2,8,predicted_non_spanish,fr,fr,0.9916906356811525
1282701,Julio Iglesias,Vous Les Femmes,Grupo 1,5,predicted_non_spanish,fr,fr,0.9929749965667723
1576096,Julio Iglesias,When I Need You,Grupo 3,7,predicted_non_spanish,en,en,0.9897556900978088
1413128,Julio Iglesias,When You Tell Me That You Love Me,Grupo 1,6,predicted_non_spanish,en,en,0.9425789713859558
230318,Katy Perry,Walking On Air,Grupo 2,13,predicted_non_spanish,en,en,0.842526912689209
3386545,Kidd Keo,640,Grupo 3,3,predicted_non_spanish,en,en,0.9701905250549316
3821039,Kidd Keo,Dbtrap,Grupo 1,9,predicted_non_spanish,en,en,0.8249193429946899
2827138,Kidd Keo,Diablo,Grupo 4,6,predicted_non_spanish,en,en,0.7898662686347961
3821042,Kidd Keo,Flashback,Grupo 3,5,predicted_non_spanish,en,en,0.9678999781608582
3253751,Kidd Keo,Foreign,Grupo 3,6,predicted_non_spanish,en,en,0.9542050957679749
