verse_id,annotator_1_user_username,annotator_2_user_username,annotator_3_user_username,annotator_4_user_username,annotator_1_is_misogynistic,annotator_2_is_misogynistic,annotator_3_is_misogynistic,annotator_4_is_misogynistic,annotator_1_type_sexualization,annotator_2_type_sexualization,annotator_3_type_sexualization,annotator_4_type_sexualization,annotator_1_type_violence,annotator_2_type_violence,annotator_3_type_violence,annotator_4_type_violence,annotator_1_type_hate,annotator_2_type_hate,annotator_3_type_hate,annotator_4_type_hate,annotator_1_type_not_related,annotator_2_type_not_related,annotator_3_type_not_related,annotator_4_type_not_related,annotator_1_has_gender_stereotype,annotator_2_has_gender_stereotype,annotator_3_has_gender_stereotype,annotator_4_has_gender_stereotype,group_id
10002733__1,flores.esquivel.luis.antonio2,jimenez.lopez.danakarol,,,NM,NM,,,False,False,,,False,False,,,False,False,,,False,False,,,,,,,2
10002733__2,flores.esquivel.luis.antonio2,jimenez.lopez.danakarol,,,NM,NM,,,False,False,,,False,False,,,False,False,,,False,False,,,,,,,2
10002733__3,flores.esquivel.luis.antonio2,jimenez.lopez.danakarol,,,NM,NM,,,False,False,,,False,False,,,False,False,,,False,False,,,,,,,2
10002733__4,flores.esquivel.luis.antonio2,jimenez.lopez.danakarol,,,NM,NM,,,False,False,,,False,False,,,False,False,,,False,False,,,,,,,2
10002733__5,flores.esquivel.luis.antonio2,jimenez.lopez.danakarol,,,NM,NM,,,False,False,,,False,False,,,False,False,,,False,False,,,,,,,2
10002733__6,flores.esquivel.luis.antonio2,jimenez.lopez.danakarol,,,NM,NM,,,False,False,,,False,False,,,False,False,,,False,False,,,,,,,2
10002733__7,flores.esquivel.luis.antonio2,jimenez.lopez.danakarol,,,NM,NM,,,False,False,,,False,False,,,False,False,,,False,False,,,,,,,2
10002733__8,flores.esquivel.luis.antonio2,jimenez.lopez.danakarol,,,NM,NM,,,False,False,,,False,False,,,False,False,,,False,False,,,,,,,2
10002733__9,flores.esquivel.luis.antonio2,jimenez.lopez.danakarol,,,NM,NM,,,False,False,,,False,False,,,False,False,,,False,False,,,,,,,2
1000849__1,flores.esquivel.luis.antonio2,jimenez.lopez.danakarol,angeel462,marfelisraduan,NM,NM,NM,NM,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,2
